"id","sku","url","date","price","is_instant"
1605378,"2942a9f52b474763819263adb2c894d1",https://jajooreh.com/residence/modern-villa-for-rent-with-swimming-pool-in-kordan/,"1403/10/10",3000000.00,false
1605661,aefbbe2bb4c2476a9f2858204d45bdfa,https://jajooreh.com/residence/daily-rent-of-a-villa-with-a-hot-water-pool/,"1403/10/09",2500000.00,false
1605931,"58175a0bddc54f3ab7ca831f2475e2e0",https://jajooreh.com/residence/renting-a-modern-2-bedroom-duplex-indoor-villa/,"1403/10/10",2800000.00,false
1606205,"745137011bbd407794fd1799daa065f8",https://jajooreh.com/residence/five-bedroom-duplex-villa-for-rent-in-kurdan/,"1403/10/06",18000000.00,false
1606212,"745137011bbd407794fd1799daa065f8",https://jajooreh.com/residence/five-bedroom-duplex-villa-for-rent-in-kurdan/,"1403/10/24",9500000.00,false
1606464,"1c871fbfea1f48d49467cb2a32303b3c",https://jajooreh.com/residence/rent-a-villa-with-a-heated-pool-billiards-air-hockey-in-kurdan/,"1403/10/09",2500000.00,false
1606473,"1c871fbfea1f48d49467cb2a32303b3c",https://jajooreh.com/residence/rent-a-villa-with-a-heated-pool-billiards-air-hockey-in-kurdan/,"1403/10/28",2900000.00,false
1606790,b3733cf5e265402c942d5f55dc4f989a,https://jajooreh.com/residence/villa-for-rent-with-modern-billiards-in-kurdan/,"1403/10/25",5990000.00,false
1606795,b3733cf5e265402c942d5f55dc4f989a,https://jajooreh.com/residence/villa-for-rent-with-modern-billiards-in-kurdan/,"1403/10/30",2990000.00,false
1606985,"549b38fc496744faa4f1e825a3ac46f3",https://jajooreh.com/residence/new-construction-3-bedrooms-open-air-pool-hot-water-modern/,"1403/10/07",6800000.00,false
1606998,"549b38fc496744faa4f1e825a3ac46f3",https://jajooreh.com/residence/new-construction-3-bedrooms-open-air-pool-hot-water-modern/,"1403/10/29",3800000.00,false
1607145,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/02",2300000.00,false
1607146,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/12",2500000.00,false
1607147,"3629a0213f314f4b9f9193c618ecf1dd",https://jajooreh.com/residence/villa-kordan-with-a-swimming-pool-on-the-roof-of-the-spa/,"1403/10/13",4400000.00,false
